Gene	ConditionA_rep1	ConditionA_rep2	ConditionA_rep3	ConditionB_rep1	ConditionB_rep2	ConditionB_rep3	ConditionC_rep1	ConditionC_rep2	ConditionC_rep3	ConditionD_rep1	ConditionD_rep2	ConditionD_rep3
HPGDS	-4.375769146500255	-4.4731434737064095	-4.543620603597246	-4.445035328299485	-6.978021953626821	-6.384847722350376	6.911670422527047	8.540850673173674	8.238599600206241	1.9091340522727025	2.9103147541595904	2.6898687257413787
TPSB2	-7.083105697839978	-6.249680208660295	-6.2858946447649275	-3.328110333564083	-3.3253201942064665	-3.719413366484296	5.283140736175233	4.722881275912879	5.114660611365869	5.128075295228827	4.8521191269538715	4.890647399883355
CSTA	-4.2252620908700065	-3.4453777294038983	-3.4734753384846786	-6.217116438068647	-4.977872634752879	-5.5001595164511246	6.796617253699582	5.613616821892161	5.868703961198162	3.645761275239063	2.8096335422646157	3.104930893737641
MNDA	-4.125787662787882	-3.2807276037539608	-4.190428891684043	-6.491349494045367	-4.834317471932581	-5.4474604542418765	5.7302933551664434	4.663841083363593	5.236404678839696	4.886843801666838	3.451203992322938	4.4014846670862235
PLG		-8.808051322438574			-5.498934647209471			7.748067324315508			6.558918645332495	
IGF2BP3	-4.8552481866252	-4.450437653995981	-5.152740838375311	-4.357693706609696	-4.657476676640644	-2.547119786123872	5.114245433122493	4.996246947707014	4.056591360711371	4.098696460112413	4.11166738292963	3.6432692637877815
HMGA2	-6.131757528470888		-5.5195045878923725	-5.086763044295361		-3.4790558261301867	7.271769898862183		6.000680317257626	3.9467506739040648		2.9978800967649533
HBG2	-12.482453465602267	-13.38756850621984	-11.768051416857073	-0.9517091408122084	-1.0115132099681359	-1.6357927140282267	-7.3526232614092955	-8.146393584492785	-7.422454483138017	20.786785867823802	22.5454753006808	20.826298614023358
HBG1	-8.9473506399071	-11.983893839775364	-9.977777510616269	-0.0848545104443133	1.3446715703396117	0.1987714881226057	-6.841359749372899	-8.801274351558266	-8.336029036464273	15.87356489972426	19.44049662099402	18.115035058957936
HBA1	-11.577958070284526	-12.436376784918751	-11.446603742026856	7.613934044507741	7.77789109206862	7.230249671055257	-10.439451259369378	-11.04647955126085	-10.141644135803142	14.403475285146186	15.704965244110985	14.357998206774766
GSTM1	6.796082715981048	2.18822000968316	4.108887818255831	12.45629222777027	5.817996711674134	11.482929265508645	-10.174764877526725	-4.2724251228166015	-7.725275440704047	-9.077610066224604	-3.7337915985406918	-7.866541643060438
