snps	gene	statistic	pvalue	FDR	beta
CTNNB1	RAB34	-3.0708004667360496	0.00252172467640788	0.03339015230008756	-1.01084623359211
CTNNB1	NUPL2	3.07017394596136	0.00252671305602405	0.03339015230008756	0.356165895849251
CTNNB1	MCM3AP	3.0701475204090602	0.0025269236573277	0.03339015230008756	0.29081059401346004
CTNNB1	CINP	3.0684045935114597	0.0025408499516993	0.03339015230008756	0.406964896747725
CTNNB1	MRPS7	3.06834114686153	0.0025413582361107	0.03339015230008756	0.6245934780855821
CTNNB1	PAH	3.0681843894858303	0.00254261445491458	0.03339015230008756	1.03880153225907
CTNNB1	VNN2	-3.06723334591946	0.0025502482078280002	0.03339015230008756	-1.4513895194702
CTNNB1	QTRTD1	3.0672314843746205	0.00255026317064352	0.03339015230008756	0.368324564022431
CTNNB1	PIGG	3.06655190637165	0.00255573093551877	0.03339015230008756	0.543972065658248
CTNNB1	CASC3	3.06451275903984	0.0025722025930845897	0.03347228170913711	0.35489398377864206
CTNNB1	PRTFDC1	-3.0636617817805694	0.0025791054902207697	0.03351339833664231	-0.6642150773264871
CTNNB1	ALPL	-3.0595953556240296	0.00261232798820561	0.03389590214261569	-1.2015184070048202
CTNNB1	VNN1	-3.05803349481861	0.0026251929807396303	0.03401353510356282	-2.10437426157316
CTNNB1	EVA1A	3.05781358086138	0.0026270090936217397	0.03401353510356282	0.811405579901536
CTNNB1	SELENBP1	3.0548050612268196	0.00265197104141865	0.034261322848226805	1.07018745627884
CTNNB1	CRYBG3	-3.05463943521096	0.0026533515914254602	0.034261322848226805	-0.7871693083345219
CTNNB1	DRAP1	-3.05391099456415	0.00265943127225715	0.034261322848226805	-0.39158761406874
CTNNB1	N4BP1	3.05360738065864	0.00266196907553598	0.034261322848226805	0.35348061944948705
CTNNB1	MT-CO1	3.051020724807	0.00268368083139805	0.0344720150408992	0.8254616744258821
CTNNB1	TRIM13	3.0504902780117296	0.00268815341284568	0.03447999642579853	0.34991251418534997
CTNNB1	PAPLN	-3.04901355792443	0.00270064095977843	0.034590613037047614	-0.8069858190291009
CTNNB1	GDA	-3.04716727442164	0.00271632891938736	0.03474184687896433	-1.2819109467256202
CTNNB1	ALAS1	3.04706505867516	0.00271719990270984	0.03474184687896433	0.6396384746133901
CTNNB1	SERPINE1	-3.0435875942771	0.0027469854040870103	0.0350338466136624	-1.3572832764431297
CTNNB1	PARN	3.0430820423377205	0.00275134059211997	0.035039476986130996	0.41768454417440204
CTNNB1	GPR126	-3.04202830267703	0.00276043874210801	0.035105409173427575	-0.758269147500629
CTNNB1	VWA5A	-3.0407087857229	0.00277187078160329	0.035200793060559225	-0.8366186136551399
CTNNB1	PCK2	3.03999732436888	0.00277805284759838	0.03522933023307124	0.9737217267950942
CTNNB1	PFDN2	-3.03848021416968	0.00279127788566043	0.03534697441346228	-0.435656815024841
CTNNB1	DOPEY2	-3.03735010612316	0.00280116703086617	0.03542210229850963	-0.693237789913553
CTNNB1	CASKIN2	-3.0370920045872403	0.00280343010616638	0.03542210229850963	-0.354895029146844
