snps	gene	statistic	pvalue	FDR	beta
CTNNB1	COBLL1	5.50316516027559	1.5112321480635e-07	2.941317700350547e-05	1.40842848907161
CTNNB1	TNFAIP3	5.43462066319856	2.08953450992456e-07	3.980340950500976e-05	1.1684123382165
CTNNB1	AQP9	5.42034280283495	2.23472136866523e-07	4.1682209195124594e-05	2.63297528149931
CTNNB1	CTNNB1	5.3981757534469	2.47983206229201e-07	4.531007439530687e-05	0.740410426907674
CTNNB1	BOK	5.36443363026631	2.90402496176621e-07	5.199947096538576e-05	1.26643064678193
CTNNB1	ZCCHC6	5.35302711569458	3.06282458886217e-07	5.376758538055491e-05	0.870889192207067
CTNNB1	BCL2L1	5.31982067811804	3.57484656665753e-07	6.154923329093243e-05	1.07546613107183
CTNNB1	APP	-5.30572365886658	3.81661549944761e-07	6.447199729538576e-05	-1.36313838446518
CTNNB1	TTPA	5.2887899487911	4.12814923373643e-07	6.844318535118936e-05	1.72921908982478
CTNNB1	TMEM245	5.26271340666371	4.65689075436675e-07	7.580571440699184e-05	1.29993462644228
CTNNB1	43349	-5.26068802972334	4.70061298355985e-07	7.580571440699184e-05	-1.07248911147899
